n;k1;k2;k3;k4;k5;k6;k7;k8;k9;k10;k11;k12
1;0.003058383;0.009567096;0.036790529;0.072703956;0.098675107;0.286476808;0.520502864;0.440109733;0.524954726;0.472020717;0.614743081;0.624001593
2;0.00407679;0.008560089;0.022315945;0.065135566;0.05998839;0.253277604;0.385366572;0.499641558;0.501484404;0.559859611;0.565252662;0.565252662
3;0.007738696;0.175841762;0.19677088;0.223651552;0.309665525;0.390630359;0.412847288;0.456562567;0.566819966;0.547365102;0.662388138;0.662388138
4;0.015144392;0.152153317;0.248614633;0.265399175;0.296743702;0.17239675;0.212086568;0.258153603;0.268044669;0.311255325;0.444445734;0.436700334
5;0.006726178;0.140060312;0.210577003;0.229891859;0.248241879;0.186907471;0.235307932;0.266387938;0.342029943;0.330618785;0.458937345;0.466110166
6;0.003058383;0.192529851;0.292257979;0.31709981;0.394930902;0.233609998;0.26370082;0.450865103;0.565105097;0.721602317;0.647777102;0.655595276
7;0.002650873;0.075650584;0.180678007;0.210533902;0.279973066;0.544163508;0.573171208;0.659136733;0.701597903;0.708339371;0.724867094;0.724867094
8;0.002243279;0.232887547;0.30515556;0.370980691;0.40185597;0.27591852;0.320202806;0.642925412;0.630157455;0.721329953;0.510791481;0.532603199
9;0.008145154;0.207056848;0.311916314;0.348062095;0.389470737;0.201737251;0.351789444;0.778847023;0.795833546;0.774374084;0.420191274;0.442201775
10;0.003262107;0.200450939;0.344496943;0.361242437;0.44878341;0.332048561;0.415788556;0.466954108;0.645067624;0.597286822;0.513880429;0.544618227
11;0.00203945;0.010176185;0.041790586;0.081334689;0.094403225;0.422957719;0.4639388;0.523574354;0.620045579;0.657862688;0.573916121;0.582533091
12;0.004484005;0.057506933;0.103904923;0.134225878;0.177517254;0.336896251;0.36969978;0.33894281;0.387372346;0.460209209;0.630189625;0.660439059
13;0.023730168;0.197875658;0.283139938;0.315028189;0.387149221;0.446217915;0.579418252;0.508471114;0.60359115;0.540065547;0.712863754;0.755955282
14;0.006315431;0.103904923;0.205407559;0.231803342;0.314509914;0.420842594;0.487915718;0.562257825;0.521885718;0.609580154;0.65828748;0.66690113
15;0.044784478;0.126021533;0.302548559;0.34941839;0.373992144;0.466636953;0.560306923;0.590958632;0.741899118;0.626120103;0.658853698;0.685386644
16;0.00203945;0.011393797;0.049565155;0.099256902;0.098093137;0.252295422;0.413991698;0.640494203;0.689281012;0.697594795;0.475968735;0.491827661
17;0.030371714;0.241358607;0.321235958;0.344836786;0.390464745;0.159192334;0.368299572;0.415625281;0.506612559;0.657012775;0.462349693;0.46298551
18;0.002650873;0.085440341;0.134606617;0.179563054;0.192899018;0.355509067;0.491358696;0.600515264;0.623519459;0.623953183;0.673507109;0.682320233
19;0.001631729;0.004486351;0.005822907;0.016765869;0.022007473;0.292009041;0.307260755;0.469227195;0.507194235;0.488134323;0.58532912;0.588538939
20;0.009770146;0.296799975;0.382330698;0.39823193;0.429287872;0.321924398;0.403665211;0.58534631;0.711768097;0.729209844;0.582384896;0.582384896
21;0.003465809;0.189758783;0.267782427;0.270616466;0.357028511;0.444130674;0.535043482;0.681203742;0.682459741;0.717785023;0.592874331;0.704628159
22;0.003873151;0.009567096;0.017777442;0.030937709;0.074318728;0.303070258;0.372487053;0.447340783;0.629725352;0.621493913;0.476599584;0.470913659
23;0.006722183;0.280325212;0.315546316;0.341605681;0.362084034;0.156183551;0.219653179;0.467588243;0.570337531;0.473443039;0.351450914;0.405472603
24;0.007332154;0.183833457;0.325362675;0.343647054;0.417583585;0.215463855;0.384326153;0.423120316;0.451345142;0.649913019;0.629725352;0.646921959
25;0.002346525;0.008351841;0.019189507;0.050387074;0.052223503;0.168593303;0.187791427;0.406583755;0.416910012;0.519578105;0.370048973;0.380887762
26;0.00407679;0.219289264;0.285950339;0.312435331;0.35365022;0.440592734;0.570337531;0.418398902;0.420679786;0.591548311;0.63188474;0.770416851
27;0.002243279;0.007128851;0.024838255;0.039788133;0.052711037;0.303975916;0.465488171;0.385209523;0.687147387;0.507223343;0.685466404;0.707326611
28;0.001838358;0.006216845;0.012513123;0.026445142;0.024932824;0.194882746;0.306914769;0.305896806;0.389229122;0.415441673;0.276192829;0.275986958
29;0.004280408;0.092263719;0.168937925;0.21345693;0.288756424;0.317789824;0.431392864;0.53930558;0.629725352;0.613221449;0.633322768;0.685804343
30;0.017167356;0.067863041;0.165705531;0.180392066;0.236975644;0.238999397;0.395852624;0.406408773;0.305637709;0.318214802;0.448284017;0.451090467
31;0.005908595;0.13403548;0.240639173;0.267250557;0.339902766;0.354157369;0.346535038;0.516655729;0.550216441;0.585642164;0.641066574;0.68343596
32;0.003873151;0.01098801;0.018481526;0.045183316;0.054334114;0.51511445;0.516347584;0.352466313;0.558804695;0.721466141;0.614675739;0.614675739
33;0.005401033;0.208205477;0.372898639;0.390148596;0.423274918;0.332550711;0.414252158;0.357638386;0.399728316;0.324942251;0.453224327;0.492692706
34;0.032878507;0.160819559;0.248762433;0.264801912;0.343064275;0.171021178;0.198294845;0.281238268;0.299744754;0.305112533;0.442514613;0.453195989
35;0.004687581;0.036990777;0.087197234;0.168564024;0.217468621;0.175655504;0.294879742;0.652756602;0.693581781;0.722146906;0.541128931;0.541128931
36;0.007738696;0.173791911;0.316409532;0.31122406;0.387149221;0.350096154;0.503976159;0.64192476;0.659985547;0.72405152;0.59081118;0.59081118
37;0.004484005;0.137649787;0.256580727;0.291733174;0.359895059;0.243694838;0.269908366;0.382663429;0.388807757;0.591843073;0.488229;0.488229
38;0.00509467;0.182163585;0.27591852;0.323300493;0.409245734;0.450224847;0.465685142;0.439465524;0.481009104;0.528630272;0.596846096;0.605784745
39;0.002650873;0.047176284;0.100226168;0.102743972;0.121235289;0.221471687;0.387812821;0.57555377;0.656304178;0.66718278;0.440270748;0.446057447
40;0.002447086;0.205407559;0.278387573;0.308972412;0.380832636;0.6119115;0.624531305;0.545072825;0.64192476;0.643925457;0.720103745;0.76525764
41;0.002243279;0.232887547;0.338368765;0.375161893;0.383494985;0.173791911;0.393939394;0.577487121;0.699114379;0.589631095;0.48163812;0.489011956
42;0.004280408;0.177331162;0.248895813;0.276094991;0.309665525;0.34007313;0.458211209;0.670699315;0.679527571;0.71245297;0.653182716;0.653182716
43;0.009669394;0.193426958;0.329714947;0.378557979;0.380057839;0.411159185;0.520150772;0.632949491;0.679129188;0.370169723;0.591311899;0.606940419
44;0.00509467;0.149585121;0.31157022;0.327422508;0.363766041;0.35922099;0.530923475;0.367293114;0.4497445;0.587859408;0.60724554;0.60724554
45;0.002447086;0.012611738;0.048968212;0.075061618;0.093730693;0.176446994;0.193550698;0.47633186;0.504176128;0.525193261;0.493693912;0.590496146
46;0.002243279;0.317617345;0.383494985;0.415135365;0.478648258;0.354326387;0.43624092;0.396912256;0.650908832;0.662952943;0.64977071;0.699390514
47;0.003873151;0.199347681;0.350265555;0.359558056;0.396582185;0.291733174;0.472020717;0.406129379;0.416115061;0.56285765;0.534586195;0.611183305
48;0.002447086;0.142584575;0.351281625;0.400374304;0.414481932;0.284545678;0.299937816;0.514189017;0.621204347;0.642925412;0.413010821;0.42782909
49;0.008551528;0.177331162;0.365950287;0.382663429;0.450224847;0.281733116;0.34755322;0.433980162;0.448302667;0.486191651;0.522960498;0.544921306
50;0.003873151;0.104098346;0.257650498;0.277506151;0.323472432;0.369473057;0.498535511;0.516963818;0.566003239;0.660975276;0.507542088;0.516963818
51;0.003465809;0.007231465;0.015447704;0.021510716;0.03754449;0.416624971;0.539183689;0.532275847;0.644095661;0.602385941;0.556374786;0.599086964
52;0.003058383;0.021107604;0.025946522;0.102356832;0.084658986;0.420679786;0.449264021;0.533976288;0.573469212;0.634615925;0.504596853;0.540977059
53;0.007738696;0.171553163;0.224377606;0.281205279;0.372319742;0.191052458;0.243694838;0.406797859;0.286497246;0.540988582;0.451505125;0.452944316
54;0.002042177;0.004091235;0.010698106;0.020899934;0.055124928;0.362323106;0.478545299;0.506447579;0.531374168;0.536252391;0.500197596;0.441954996
55;0.0018356;0.189943648;0.311743275;0.338027698;0.371985073;0.241358607;0.381997904;0.434141741;0.490576804;0.487915718;0.448302667;0.629437221
56;0.009770146;0.099256902;0.241897999;0.251580235;0.340924709;0.388310358;0.398561695;0.640931522;0.711304927;0.695194254;0.545678766;0.611183305
57;0.002650873;0.017066026;0.066797201;0.111434017;0.184204338;0.258719648;0.495730751;0.496198528;0.532450565;0.614530367;0.702562691;0.711631087
58;0.006420194;0.154889214;0.237229051;0.238508413;0.284888638;0.25526806;0.291889829;0.346421964;0.360836355;0.344490905;0.499549704;0.499549704
59;0.002854639;0.040391861;0.109120521;0.130032719;0.181049512;0.396912256;0.404322658;0.344157035;0.55157538;0.740823085;0.505837567;0.507077387
60;0.008044443;0.014131091;0.050758491;0.072310733;0.10145452;0.609845476;0.616941516;0.579420161;0.659741217;0.64784452;0.748134649;0.748134649
61;0.002650873;0.040991438;0.078592727;0.130414297;0.152792944;0.417583585;0.424258072;0.599941417;0.7055179;0.706500516;0.522039299;0.530006564
62;0.001938899;0.004289914;0.016076182;0.020697089;0.034223916;0.232440838;0.383374724;0.287773706;0.479740629;0.437229554;0.382489492;0.382489492
63;0.00244975;0.013827653;0.021308151;0.036675952;0.045140193;0.235699284;0.404717123;0.495750215;0.522791669;0.548493768;0.490304535;0.537565993
64;0.002550306;0.00540764;0.016359149;0.026539852;0.04710034;0.288965525;0.306204247;0.429711773;0.437395808;0.521130243;0.269599657;0.295481417
65;0.017875008;0.142963643;0.242257507;0.256402371;0.328108597;0.289632443;0.371985073;0.524954726;0.671823012;0.669996613;0.602273607;0.602273607
66;0.001631729;0.009364024;0.018380737;0.029664499;0.049085827;0.363153297;0.495152559;0.467271204;0.52385604;0.589296859;0.471621807;0.471621807
67;0.005202015;0.105862031;0.239374495;0.262719639;0.315316861;0.268347893;0.399380185;0.367793689;0.367793689;0.352180151;0.430346612;0.461452478
68;0.005705145;0.12678622;0.262279004;0.310704697;0.366453965;0.38133213;0.528171261;0.494216382;0.56858361;0.635652658;0.676730118;0.702838239
69;0.00203945;0.149773966;0.257650498;0.273269409;0.300286131;0.541128931;0.614530367;0.574213994;0.649058985;0.595082031;0.76220715;0.76220715
70;0.002447086;0.081334689;0.140118783;0.206140756;0.196218247;0.529395016;0.58815482;0.622940983;0.727447017;0.732459218;0.651619758;0.653324729
71;0.004486351;0.230339333;0.285140222;0.340802299;0.3911616;0.336003258;0.252355094;0.267066777;0.306528094;0.364977347;0.366925183;0.375098318
72;0.001838358;0.010786451;0.018381496;0.037352992;0.04288499;0.258216357;0.315987124;0.224102847;0.322844135;0.363340712;0.398658835;0.398658835
73;0.005298182;0.144289788;0.262101199;0.266008929;0.322956567;0.406129379;0.406457675;0.384658512;0.610746235;0.393608768;0.564356281;0.565254821
74;0.00509467;0.239919459;0.359389531;0.382164309;0.42993583;0.273799537;0.379499967;0.394435217;0.491202346;0.478175702;0.59081118;0.664081968
75;0.005298182;0.187724061;0.252295422;0.307238473;0.35922099;0.515422817;0.47707257;0.411865775;0.695520337;0.654886067;0.654744188;0.701735765
76;0.009364024;0.167815998;0.364438401;0.365446467;0.392781933;0.256045608;0.421819121;0.627130364;0.626986078;0.721602317;0.642782499;0.657579433
77;0.004891136;0.139169548;0.333587948;0.355846833;0.398561695;0.256580727;0.415951816;0.663235272;0.716965854;0.668730987;0.500247284;0.715189558
78;0.016863729;0.248537595;0.331769667;0.35201979;0.435808679;0.35421823;0.499623957;0.523880864;0.547987212;0.532106243;0.570786511;0.62229265
79;0.003873151;0.140877829;0.334442596;0.358378046;0.383827499;0.417583585;0.549309877;0.427991237;0.496198528;0.508935439;0.710671696;0.710671696
80;0.002550306;0.030972623;0.036777319;0.089105259;0.115672148;0.419537916;0.419507476;0.702751054;0.741270187;0.732211265;0.442913799;0.593571669
81;0.009973176;0.151661391;0.255331875;0.274152871;0.393443432;0.187909127;0.238659285;0.503044698;0.611765886;0.664928226;0.5238812;0.661116617
82;0.003873151;0.227641343;0.298718187;0.354495389;0.396912256;0.264411316;0.361242437;0.540866193;0.681091443;0.645957114;0.546284491;0.546284491
83;0.001737828;0.023929757;0.038253175;0.049403983;0.09069095;0.399807393;0.433672206;0.483709287;0.609046825;0.566304694;0.512801759;0.520681607
84;0.001223923;0.156748063;0.233790567;0.275035908;0.373323371;0.318307162;0.32226852;0.520195411;0.533061018;0.630589445;0.539001499;0.631165257
85;0.003873151;0.04663882;0.109574104;0.142424163;0.159755438;0.38369547;0.428044231;0.516132864;0.661887368;0.667960034;0.693558894;0.701551387
86;0.004687581;0.014839604;0.078574775;0.13209668;0.185718306;0.2299334;0.273372774;0.427056865;0.518288958;0.588041735;0.522057464;0.626827457
87;0.002957806;0.010689831;0.0196938;0.03654595;0.111668787;0.432495653;0.440914968;0.576617952;0.59640901;0.641543537;0.547672577;0.547672577
88;0.002650873;0.194533539;0.292315237;0.344652509;0.387772463;0.204570626;0.236152684;0.423841006;0.452340087;0.345333507;0.564939699;0.606424903
89;0.01098801;0.212726602;0.275389004;0.323644353;0.408590116;0.328794426;0.457892456;0.490576804;0.524494726;0.529395016;0.539457601;0.563457262
90;0.002243279;0.004385751;0.01139634;0.019794903;0.042074647;0.259504741;0.273378639;0.428457491;0.431383664;0.517865441;0.33401755;0.342176419
91;0.017268665;0.07179124;0.109115593;0.160796959;0.145136945;0.303168002;0.372121258;0.4501927;0.473099311;0.471438785;0.637770581;0.652282608
92;0.007332154;0.221289916;0.35365022;0.372654348;0.420028407;0.169498639;0.23487361;0.489794558;0.673927863;0.627418896;0.564056661;0.650908832
93;0.029165835;0.279796968;0.396582185;0.413828256;0.4497445;0.247462523;0.353988335;0.600515264;0.638919156;0.630013433;0.637342606;0.637629363
94;0.006925528;0.07073704;0.129651065;0.142584575;0.163321607;0.216010824;0.456776361;0.440270748;0.491515032;0.544921306;0.58815482;0.596405254
95;0.003262107;0.080943219;0.225466156;0.255153399;0.274329513;0.328108597;0.508316312;0.654318479;0.680365872;0.712042081;0.638202729;0.638202729
96;0.002854639;0.014434529;0.01656095;0.052735607;0.07317232;0.415950847;0.458250149;0.592762874;0.603333239;0.599042659;0.390126476;0.395100391
97;0.006925528;0.045980748;0.071327325;0.113744721;0.145425747;0.280325212;0.511409716;0.507077387;0.607537546;0.689558824;0.69413589;0.711082934
98;0.003465809;0.058101259;0.223833093;0.279796968;0.317789824;0.40185597;0.468539012;0.677429931;0.743780437;0.743108791;0.70724064;0.70724064
99;0.002142722;0.009365611;0.016560479;0.063530723;0.071901481;0.244391841;0.331880553;0.493251114;0.525816515;0.567620993;0.397381594;0.320353172
100;0.006925528;0.191975965;0.272562333;0.30515556;0.350096154;0.182534796;0.306197315;0.433818567;0.460440846;0.592432441;0.395426448;0.395426448
101;0.008551528;0.191237196;0.318996717;0.341435462;0.350096154;0.208338622;0.425557463;0.594787839;0.599782075;0.666619432;0.646066371;0.662529358
102;0.008145154;0.260500186;0.337515977;0.347722861;0.399550621;0.386485373;0.425232705;0.623664046;0.647919583;0.730293699;0.479750387;0.605930882
103;0.00366949;0.114514336;0.224377606;0.233790567;0.301330678;0.171739827;0.189943648;0.413501328;0.465209041;0.494482724;0.514651796;0.514651796
104;0.003264643;0.014132786;0.039579856;0.072434866;0.102816385;0.308955521;0.482816194;0.395208793;0.684519572;0.679722208;0.538946095;0.540046689
105;0.002447086;0.190498135;0.26370082;0.277506151;0.329308627;0.329479995;0.387481052;0.598755069;0.703939962;0.688169286;0.579418252;0.579418252
106;0.00509467;0.199163741;0.251222537;0.280501259;0.320202806;0.203206239;0.25943207;0.416931058;0.463621095;0.498671546;0.578527236;0.708751202
107;0.004280408;0.039992041;0.10429175;0.187168754;0.191606617;0.443327225;0.47675726;0.51403473;0.658853698;0.668308894;0.535348272;0.614675739
108;0.021914921;0.083095325;0.147884661;0.160694932;0.29767214;0.327594054;0.462667631;0.563307379;0.560457072;0.526333983;0.557451548;0.62900493
109;0.00366949;0.158816497;0.230175845;0.26370082;0.33819824;0.322096467;0.401362219;0.660692557;0.692057004;0.72541058;0.439787658;0.623374859
110;0.002243279;0.199531602;0.320375039;0.407114085;0.426693644;0.457892456;0.550971541;0.545072825;0.545981656;0.532755819;0.639492074;0.680505547
111;0.003058383;0.01098801;0.034185428;0.045781421;0.053540099;0.215463855;0.303244125;0.464574037;0.695658716;0.575851353;0.444612566;0.451825048
112;0.00784123;0.21032302;0.367076373;0.420949708;0.488258077;0.367543937;0.500087588;0.553429484;0.679415129;0.648690494;0.734781541;0.734781541
113;0.00366949;0.080551669;0.164446208;0.182905933;0.21983511;0.203756812;0.211447841;0.469014202;0.590958632;0.629581293;0.430421643;0.430421643
114;0.002754066;0.010794641;0.023725083;0.04791576;0.057528451;0.122845215;0.21795186;0.307932459;0.358522506;0.32779673;0.451259606;0.451259606
115;0.008551528;0.242437234;0.322096467;0.35212791;0.377665917;0.414318535;0.581050554;0.617435392;0.647777102;0.663658674;0.721602317;0.721602317
116;0.010785085;0.240819058;0.39327808;0.410556241;0.432525276;0.204123771;0.308799093;0.667745934;0.67027773;0.744586039;0.531076245;0.540673276
117;0.001841116;0.228770044;0.252102796;0.312581604;0.36551248;0.213742275;0.342785098;0.257116371;0.253321786;0.244447684;0.476901116;0.477311823
118;0.004893418;0.179839773;0.262283686;0.295349334;0.369817217;0.28431667;0.298723999;0.313188876;0.332268649;0.334080186;0.38082188;0.398247221
119;0.004484005;0.014434529;0.038986173;0.069540692;0.065694742;0.280777953;0.452345723;0.65527798;0.713726228;0.323934224;0.693368724;0.719288948
120;0.0018356;0.008551528;0.013434852;0.020298461;0.054145022;0.448429284;0.557858295;0.532040561;0.533813925;0.603436115;0.666079563;0.419842652
121;0.006722183;0.094597607;0.11778175;0.180678007;0.210899531;0.307064988;0.349926737;0.539761601;0.55142444;0.613803317;0.574958445;0.588597839
122;0.005403236;0.083540367;0.139577387;0.16543594;0.241269905;0.228746643;0.278992487;0.356084838;0.334239217;0.348209428;0.464458523;0.472364498
123;0.003777464;0.178688282;0.303731762;0.336413468;0.356992619;0.254809785;0.346996528;0.254414787;0.294896878;0.286091711;0.414907978;0.498908426
124;0.001123394;0.004586961;0.009570206;0.031453634;0.025337889;0.245066667;0.280217204;0.560276856;0.619866897;0.522529416;0.496018572;0.348362848
125;0.00509467;0.165944636;0.318824353;0.347044202;0.392285648;0.355677958;0.358546667;0.482266907;0.599342007;0.567648592;0.635908072;0.647919583
126;0.00366949;0.161070395;0.263523153;0.286750757;0.362107382;0.241935224;0.275794342;0.302833538;0.316069101;0.313298575;0.500449837;0.500449837
127;0.010379172;0.234693147;0.339050705;0.403336395;0.467271204;0.385821277;0.479907777;0.486662022;0.564655847;0.628716673;0.634759547;0.642067747
128;0.004484005;0.1917913;0.293132319;0.327422508;0.380499563;0.434464855;0.476441893;0.483994892;0.65389266;0.634759547;0.522039299;0.535805354
129;0.004891136;0.170806322;0.270085417;0.285950339;0.355171238;0.206690465;0.478490754;0.451665094;0.619755761;0.615838256;0.67083982;0.67083982
130;0.002854639;0.14220543;0.187909127;0.275035908;0.269199993;0.24961204;0.319858291;0.445896964;0.451984987;0.478333235;0.611474621;0.492296499
131;0.006518818;0.062058794;0.137079563;0.160694932;0.14201583;0.348231688;0.444291319;0.617145118;0.677150042;0.744049016;0.633610224;0.737860256
132;0.008145154;0.244772103;0.361579124;0.387315144;0.385323042;0.294705075;0.340584126;0.606077006;0.655311629;0.668027438;0.547949121;0.637772723
133;0.008957818;0.179005329;0.242077762;0.281733116;0.424258072;0.228909027;0.287704647;0.405144123;0.421168163;0.357197258;0.476126469;0.483523795
134;0.00143348;0.00866752;0.030335339;0.110712222;0.03379179;0.411487251;0.435954972;0.415271076;0.438637815;0.461089463;0.462308389;0.504771077
135;0.002447086;0.176214222;0.232345523;0.27026245;0.325877853;0.460759133;0.545375823;0.55820343;0.571978661;0.550367488;0.647919583;0.665210215
136;0.018481526;0.208887684;0.32484735;0.355509067;0.404322658;0.461395531;0.502578778;0.498691197;0.654886067;0.659278233;0.589188349;0.589188349
137;0.00509467;0.147695627;0.220017023;0.245848741;0.30515556;0.358571701;0.414317353;0.596971271;0.677665006;0.602612861;0.619375298;0.620244398
138;0.004891136;0.139169548;0.24782095;0.310185185;0.349926737;0.281557187;0.362084034;0.227278989;0.341435462;0.424420548;0.435595286;0.45805184
139;0.029064583;0.206374396;0.352874053;0.367020528;0.445689732;0.360616982;0.416962185;0.510371487;0.515001098;0.608704258;0.566884371;0.647267208
140;0.005298182;0.215281497;0.278916224;0.307064988;0.359726566;0.243694838;0.28437002;0.458211209;0.494482724;0.567349557;0.567349557;0.587859408
141;0.002243279;0.198427802;0.296276476;0.35263549;0.443809338;0.377165393;0.535805354;0.460599997;0.475495447;0.489794558;0.571083697;0.692334343
142;0.003465809;0.073490163;0.163883992;0.176958922;0.240279351;0.239559497;0.47233689;0.618886002;0.631165257;0.630733417;0.581347166;0.647349586
143;0.003262107;0.027758037;0.079964195;0.138029841;0.178819384;0.334271699;0.385323042;0.636195078;0.672384571;0.731241473;0.636338563;0.706278638
144;0.018481526;0.071720748;0.168003032;0.246566152;0.233790567;0.386651358;0.500558332;0.490576804;0.516501663;0.574958445;0.54173628;0.558353767
145;0.002650873;0.211630574;0.326221224;0.348062095;0.378666542;0.299240985;0.371650342;0.438176394;0.486034832;0.53930558;0.52234642;0.529242094
146;0.007128851;0.127359533;0.221471687;0.24997005;0.347722861;0.331021573;0.593904953;0.558804695;0.57078527;0.649343712;0.603444807;0.700494585
147;0.00203945;0.057506933;0.111048628;0.126403915;0.163696549;0.35212791;0.366789672;0.530159416;0.588745486;0.620190469;0.737455809;0.737455809
148;0.003465809;0.222016893;0.310877835;0.332732895;0.413501328;0.342456535;0.555946782;0.609725959;0.641352686;0.673226547;0.678549008;0.693858859
149;0.002854639;0.196218247;0.241897999;0.292957484;0.348401265;0.396417125;0.469172569;0.587120653;0.611328969;0.580012;0.538241056;0.543708667
150;0.000821868;0.005818635;0.009876941;0.028631859;0.054031861;0.204332175;0.242145693;0.44514814;0.463763618;0.394210401;0.278268206;0.315819275
151;0.0018356;0.157688541;0.259610132;0.310185185;0.347213891;0.249074896;0.561807817;0.693443224;0.755422072;0.713958667;0.719831127;0.769227752
152;0.002854639;0.02252019;0.025946522;0.113359797;0.167057412;0.296989551;0.328466868;0.664985901;0.665267836;0.714304946;0.449293963;0.449293963
153;0.002854639;0.181049512;0.276447883;0.321063807;0.405308371;0.589335944;0.599342007;0.614966445;0.655027933;0.711905095;0.704490543;0.728532062
154;0.004280408;0.226554068;0.328451544;0.356184535;0.439626598;0.358040758;0.465843814;0.556398352;0.609725959;0.554892648;0.573916121;0.608996807
155;0.003772552;0.010887225;0.034178697;0.073919299;0.071067794;0.348909899;0.375662979;0.548986628;0.567262416;0.614361362;0.639568955;0.648269837
156;0.004891136;0.105258478;0.198243772;0.204674074;0.290858163;0.310704697;0.490107499;0.441075602;0.573618195;0.716829285;0.595523222;0.595523222
157;0.002346525;0.04587907;0.102075894;0.222136954;0.200895436;0.34298311;0.449626161;0.564733075;0.565631276;0.596476176;0.531633502;0.56623403
158;0.00203945;0.006112023;0.019592996;0.030245838;0.042375879;0.207776171;0.358332239;0.387597215;0.458788666;0.464919711;0.486471061;0.575679708
159;0.00366949;0.205224215;0.316927265;0.323988148;0.375996959;0.493858371;0.551122521;0.614821098;0.692888878;0.732864928;0.669996613;0.685108117
160;0.003873151;0.151284056;0.329822681;0.346025731;0.402678581;0.521271254;0.558654399;0.666196795;0.666619432;0.6906696;0.662670565;0.70724064
161;0.010582139;0.136318999;0.279444721;0.307585394;0.351450914;0.386319372;0.507387202;0.574065064;0.731241473;0.733270535;0.750481408;0.750481408
162;0.003465809;0.015851927;0.033383159;0.072900537;0.166880549;0.223469995;0.301330678;0.581977127;0.590847196;0.676617857;0.490107499;0.490420383
163;0.009364024;0.14504717;0.269731299;0.325362675;0.391954713;0.529700817;0.592285118;0.650624375;0.662105663;0.674488699;0.799857266;0.799857266
164;0.002859838;0.237355977;0.322803824;0.35615491;0.398598459;0.19473447;0.259568642;0.244438331;0.315775972;0.326465205;0.465082156;0.465082156
165;0.007941935;0.205224215;0.298020889;0.314509914;0.379999835;0.158252603;0.30585013;0.463144428;0.491671354;0.695520337;0.595082031;0.595229107
166;0.002754066;0.013022223;0.029555609;0.06356566;0.057256919;0.34895436;0.518287903;0.589990668;0.741010683;0.759549783;0.598965963;0.637843639
167;0.003262107;0.074865256;0.138979645;0.158628551;0.169311753;0.383827499;0.494638777;0.391458196;0.529395016;0.715736319;0.58534631;0.636768942
168;0.013624127;0.180120613;0.279620853;0.311050956;0.355846833;0.43914333;0.465685142;0.526793488;0.537936784;0.606953484;0.628572526;0.651193239
169;0.00366949;0.12449124;0.233248807;0.260856087;0.314682689;0.315200915;0.393443432;0.602273607;0.617870708;0.65304069;0.706141162;0.706141162
170;0.020905723;0.197507471;0.340584126;0.370980691;0.38099915;0.362420562;0.479120685;0.58800712;0.601101584;0.668168172;0.537175865;0.561207619
171;0.002650873;0.040191962;0.143342637;0.200083258;0.176028001;0.282436662;0.369473057;0.632747707;0.64192476;0.64178176;0.5553445;0.557752341
172;0.002447086;0.150529162;0.264944008;0.287879986;0.345516279;0.24943301;0.396086961;0.50164656;0.686639422;0.620335347;0.511100627;0.531687191
173;0.003465809;0.106881015;0.266641009;0.31677417;0.274652964;0.301910546;0.323859761;0.343275874;0.347650349;0.353039755;0.569847955;0.57508052
174;0.005298182;0.175282933;0.249791054;0.30515556;0.355677958;0.436402291;0.502578778;0.614821098;0.621638676;0.680365872;0.537328076;0.576000125
175;0.003058383;0.017672794;0.094403225;0.189943648;0.15637174;0.421168163;0.4497445;0.522960498;0.637772723;0.665633108;0.52234642;0.532908425
176;0.003873151;0.215463855;0.319341396;0.343987058;0.396912256;0.443327225;0.510791481;0.620335347;0.637916071;0.677150042;0.654176552;0.654176552
177;0.006722183;0.197139212;0.23847919;0.270793448;0.355677958;0.446378369;0.471071854;0.563457262;0.64592373;0.596405254;0.600368652;0.625253674
178;0.002447086;0.224014615;0.225466156;0.294180974;0.357318292;0.308064006;0.319948909;0.683415852;0.693152697;0.754796893;0.609119686;0.696493956
179;0.007535435;0.306197315;0.371985073;0.369975743;0.430097783;0.175469227;0.294180974;0.524187991;0.602712903;0.679946775;0.696212117;0.696350438
180;0.002854639;0.009770146;0.033281799;0.047472915;0.07784899;0.239790989;0.356068155;0.366957502;0.507696961;0.622796333;0.474649075;0.580750484
181;0.003058383;0.188094175;0.210716726;0.247641745;0.33033659;0.494170576;0.526027578;0.545830218;0.655311629;0.687334993;0.66690113;0.683296536
182;0.005298182;0.155430608;0.237218035;0.256759065;0.377499091;0.338027698;0.421330925;0.470280738;0.562707714;0.573171208;0.585790071;0.604030099
