n;k1;k2;k3;k4;k5;k6;k7;k8;k9;k10;k11;k12
1;0.010582139;0.056515983;0.339221149;0.520041664;0.86224224;0.955588265;0.963296714;0.963296714;0.970965462;0.978133543;0.978133543;0.940879025
2;0.009973176;0.068965105;0.295752826;0.498068368;0.748072297;0.955119804;0.913793103;0.955119804;0.955119804;0.955119804;0.955119804;0.955119804
3;0.01098801;0.065219019;0.130032719;0.47217881;0.775690967;0.904978427;0.920640293;0.920640293;0.920640293;0.950544587;0.971197231;0.971197231
4;0.011190914;0.065416362;0.329308627;0.888296492;0.925665804;0.940997274;0.94819288;0.955471164;0.955471164;0.955471164;0.955471164;0.955471164
5;0.010582139;0.084072762;0.382996098;0.803094711;0.837891632;0.89927601;0.914755985;0.962830669;0.970153982;0.962830669;0.962830669;0.985267111
6;0.011596659;0.056515983;0.257472246;0.76393206;0.835486054;0.978018204;0.978018204;0.978018204;0.978018204;0.978018204;0.978018204;0.970385879
7;0.01098801;0.068177057;0.555645668;0.655311629;0.941351965;0.949016398;0.956758776;0.96446119;1;0.992480638;1;0.96446119
8;0.010785085;0.072114091;0.299240985;0.841682335;0.947839805;0.955471164;0.955471164;0.97744137;0.985037532;0.97744137;0.97744137;0.97744137
9;0.009973176;0.073686664;0.226916564;0.711905095;0.912468141;0.985037532;0.992594854;0.992594854;0.992594854;0.992594854;1;0.992594854
10;0.011596659;0.065810988;0.270970413;0.71245297;0.852247203;0.881547682;0.919201354;0.955119804;0.977672131;0.977672131;0.977672131;0.955471164
11;0.01200232;0.057903171;0.364102252;0.57689248;0.891842981;0.948781153;0.948310553;0.985267111;0.985267111;0.985267111;0.985267111;0.977672131
12;0.012205119;0.054929413;0.3955916;0.757287525;0.847351057;0.925785255;0.910659504;0.940997274;0.948781153;0.963529682;0.971197231;0.918001191
13;0.012610654;0.050360794;0.19474376;0.689142087;0.779109744;0.940405935;0.970153982;0.985037532;0.985037532;0.985037532;0.985037532;0.985037532
14;0.012610654;0.078984675;0.232345523;0.637916071;0.867091404;0.911744945;0.962481039;0.970038021;0.977556755;0.97744137;0.977556755;0.97744137
15;0.011596659;0.075650584;0.267073233;0.486662022;0.862366768;0.925785255;0.948545872;0.948545872;0.948545872;0.970501814;0.977787497;0.962947194
16;0.01098801;0.05314297;0.19474376;0.678549008;0.868456357;0.940405935;0.962714135;0.955119804;0.985037532;0.985037532;0.985037532;0.97744137
17;0.012407897;0.057705062;0.223469995;0.887929143;0.97744137;0.985037532;1;1;1;1;1;1
18;0.011190914;0.048570148;0.368299572;0.888541342;0.954885518;0.954885518;0.977672131;0.977787497;0.992480638;0.992480638;0.992480638;0.97744137
19;0.010785085;0.046476915;0.207598052;0.40499712;0.464490211;0.538437786;0.562146444;0.562146444;0.563830628;0.563830628;0.563830628;0.563830628
20;0.010582139;0.058299328;0.206140756;0.49245275;0.536871403;0.812381378;0.956173635;0.992480638;0.992480638;0.992480638;0.992480638;0.97744137
21;0.010785085;0.063244482;0.410883715;0.543405371;0.80967845;0.919561218;0.948075197;0.940997274;0.985381887;0.978133543;0.970501814;0.963529682
