n;k1;k2;k3;k4;k5;k6;k7;k8;k9;k10;k11;k12
1;0.014839604;0.371817715;0.387812821;0.419865524;0.664646188;0.444933754;0.590663715;0.673507109;0.802835961;0.832061179;0.889887317;0.756088556
2;0.002447086;0.343647054;0.408426173;0.42734256;0.656587654;0.503510492;0.618450952;0.826845974;0.91090078;0.918121251;0.918121251;0.919441273
3;0.004687581;0.308799093;0.404486982;0.477230203;0.532450565;0.26138981;0.336662786;0.552933229;0.64977071;0.692888878;0.847602519;0.833964819
4;0.009364024;0.422307182;0.359052433;0.397572216;0.650197598;0.563607132;0.663094113;0.665069227;0.80322407;0.809420784;0.910659504;0.947722094
5;0.011596659;0.387646944;0.459167117;0.51557698;0.72907431;0.491202346;0.725953882;0.587711683;0.851494959;0.899883668;0.906793849;0.810064868
6;0.009160932;0.433495334;0.426855895;0.453104153;0.662105663;0.61641921;0.61641921;0.663658674;0.790365582;0.86049778;0.86049778;0.948075197
7;0.010785085;0.31951371;0.459485637;0.499625018;0.716829285;0.408262216;0.734081441;0.741092161;0.800764424;0.876867412;0.904736206;0.849612744
8;0.005908595;0.513263084;0.540521364;0.561657788;0.733811184;0.589188349;0.795573597;0.535957688;0.865600981;0.88044049;0.888051602;0.947957506
9;0.013016106;0.593316104;0.64962839;0.663235272;0.880932674;0.552933229;0.65941972;0.73799505;0.811738247;0.829010497;0.918121251;0.977672131
10;0.001019989;0.397407249;0.393112714;0.438015187;0.644782157;0.451825048;0.563307379;0.564206477;0.665774048;0.784878573;0.807228916;0.765920015
11;0.015244596;0.481952542;0.473916888;0.512336651;0.710534594;0.766582115;0.830028056;0.855252521;0.862117701;0.903403302;0.903403302;0.866843101
12;0.003873151;0.279268572;0.269199993;0.30515556;0.51048228;0.555796231;0.685665122;0.667323587;0.719831127;0.852372542;0.852372542;0.918001191
13;0.005501674;0.274152871;0.344836786;0.388973525;0.597727431;0.447020037;0.7464642;0.754088267;0.910297517;0.917881123;0.925187904;0.911262623
14;0.010176185;0.542343412;0.567050468;0.616999961;0.804129284;0.378833258;0.682599237;0.776480572;0.835739448;0.89000962;0.920040902;0.848356659
15;0.003465809;0.414808679;0.449264021;0.492921417;0.653324729;0.272385521;0.512491091;0.712042081;0.868952403;0.895990456;0.910297517;0.844960127
16;0.008754683;0.396252051;0.447982098;0.478490754;0.652898652;0.444933754;0.624386793;0.830917874;0.838018138;0.845589678;0.910297517;0.8687044
17;0.006925528;0.577784362;0.622217606;0.638489337;0.845463788;0.460440846;0.501957355;0.864482215;0.864482215;0.870315704;0.870315704;0.992480638
18;0.00203945;0.316754704;0.34041381;0.370310788;0.602566484;0.806712736;0.806712736;0.855377616;0.863113729;0.90291832;0.90291832;0.88044049
19;0.00509467;0.085440341;0.105514418;0.131136186;0.206415324;0.412520178;0.612057101;0.734756883;0.831553147;0.872915012;0.872915012;0.910425322
20;0.023326925;0.43914333;0.586381571;0.62265167;0.775032662;0.262990049;0.38316241;0.43478791;0.509554343;0.768566756;0.85725282;0.779766354
21;0.006925528;0.453583575;0.562257825;0.6078295;0.749544964;0.445254883;0.55142444;0.717785023;0.723779571;0.821357538;0.882776957;0.948781153
22;0.002650873;0.109313419;0.139780849;0.160487137;0.184071313;0.51279993;0.532450565;0.621638676;0.642639573;0.662952943;0.865600981;0.802101107
23;0.009567096;0.480694511;0.530006564;0.565254821;0.790887159;0.359389531;0.59375776;0.587120653;0.852247203;0.880932674;0.888296492;0.962830669
24;0.015042111;0.216010824;0.337686567;0.373156139;0.373824974;0.430421643;0.439304434;0.574511814;0.688447289;0.888051602;0.888051602;0.841303681
25;0.006722183;0.325706144;0.34041381;0.35365022;0.573022186;0.496977875;0.657154458;0.553234826;0.727447017;0.776612134;0.858251997;0.817388744
26;0.003262107;0.363766041;0.317617345;0.361915746;0.527865186;0.23847919;0.438337588;0.664787213;0.777401279;0.777401279;0.778190031;0.926501763
27;0.013218801;0.343647054;0.43527238;0.472494954;0.697180115;0.452464718;0.582533091;0.840546097;0.884373538;0.884373538;0.884373538;0.929960094
28;0.020703821;0.310704697;0.431554682;0.4639388;0.724459359;0.478490754;0.482266907;0.683296536;0.772396703;0.783962214;0.848859216;0.893552132
29;0.013016106;0.323472432;0.333245975;0.382663429;0.620190469;0.442362598;0.551122521;0.622796333;0.731647491;0.840040835;0.840040835;0.795833546
30;0.006518818;0.353481138;0.340754425;0.367460896;0.628284194;0.564655847;0.62482029;0.541888083;0.644353863;0.695797084;0.814822868;0.746061923
31;0.017672794;0.32158021;0.334271699;0.394765689;0.613221449;0.419213843;0.584458434;0.812381378;0.812895693;0.852748496;0.874768968;0.883022694
32;0.010785085;0.461554595;0.545375823;0.565105097;0.82569883;0.410392481;0.569292342;0.841051194;0.847979635;0.855002301;0.920040902;0.95605658
33;0.007738696;0.289106882;0.298543887;0.300286131;0.535500646;0.405965208;0.546435888;0.529853697;0.534128785;0.669574846;0.792841538;0.731241473
34;0.004484005;0.419865524;0.375996959;0.429125845;0.725953882;0.594787839;0.615983514;0.803741399;0.813538349;0.813538349;0.813666848;0.955002665
35;0.004484005;0.396582185;0.416115061;0.427018132;0.619175972;0.233068186;0.600661864;0.722010776;0.776612134;0.794403295;0.933053926;0.830917874
36;0.006722183;0.424420548;0.466002471;0.486818784;0.739207676;0.624097732;0.671401716;0.768170027;0.800116508;0.844960127;0.844960127;0.955354053
37;0.007128851;0.436402291;0.525721118;0.561057537;0.679667318;0.251043663;0.556548849;0.808260765;0.835232618;0.911383218;0.911383218;0.877977191
38;0.015649504;0.403336395;0.427018132;0.446378369;0.615983514;0.473285061;0.685525889;0.772528605;0.772528605;0.772528605;0.911744945;0.903645736
39;0.005908595;0.401362219;0.402349582;0.433980162;0.668590301;0.483994892;0.704765763;0.718194452;0.837385504;0.837385504;0.844708236;0.846596425
40;0.015244596;0.35888386;0.377832727;0.400044877;0.651619758;0.459804098;0.590221242;0.743780437;0.789974286;0.875262978;0.895868632;0.873162336
41;0.006722183;0.394600461;0.423120316;0.472653004;0.815721404;0.278563807;0.325534418;0.38316241;0.804129284;0.827992273;0.871058812;0.601101584
42;0.015042111;0.459326384;0.510946061;0.537328076;0.812509973;0.328451544;0.373657789;0.633466502;0.773451613;0.879825037;0.879825037;0.955588265
43;0.01098801;0.382497071;0.390795957;0.402349582;0.6809245;0.415461991;0.693166074;0.657154458;0.736646609;0.817901413;0.825443794;0.830790789
44;0.003465809;0.432848688;0.491515032;0.521117604;0.72405152;0.487915718;0.513726113;0.620190469;0.795183593;0.820206347;0.91836134;0.844456303
45;0.007738696;0.386817328;0.394600461;0.51048228;0.719831127;0.415298685;0.495262847;0.596258281;0.674208305;0.690253148;0.724187478;0.768963387
46;0.006925528;0.376664729;0.443005742;0.457573645;0.673086248;0.517271852;0.653182716;0.685247386;0.693581781;0.76220715;0.811352242;0.904372803
47;0.014839604;0.463462221;0.413828256;0.451665094;0.685525889;0.458370563;0.750748863;0.710671696;0.926143552;0.926143552;0.926143552;0.955705358
48;0.006722183;0.503820951;0.470280738;0.514189017;0.768302281;0.515422817;0.555946782;0.847728234;0.847728234;0.881916569;0.90388813;0.912468141
49;0.020501898;0.478963224;0.471071854;0.505062226;0.740419385;0.338709767;0.386983282;0.640064793;0.774374084;0.841177443;0.842060896;0.900976841
50;0.004484005;0.371148127;0.362084034;0.374159298;0.663940882;0.620769904;0.69399738;0.785140293;0.939932697;0.939932697;0.939932697;0.985267111
51;0.009770146;0.553385604;0.582384896;0.661116617;0.835232618;0.31951371;0.667041961;0.617435392;0.525721118;0.717921511;0.881793616;0.770152684
52;0.014637077;0.350773661;0.42571982;0.431878273;0.629437221;0.44445195;0.488229;0.56285765;0.685108117;0.868084217;0.868084217;0.839409025
53;0.010582139;0.421493672;0.403171965;0.456935847;0.673647373;0.562707714;0.676730118;0.636768942;0.844960127;0.882039511;0.897694962;0.977672131
54;0.03659026;0.614094175;0.566900903;0.616128759;0.904009313;0.491827661;0.778584259;0.769095575;0.896234073;0.94028764;0.955119804;0.826081305
55;0.019289925;0.262456791;0.310185185;0.335296839;0.530923475;0.441719218;0.583718179;0.868952403;0.875756829;0.875756829;0.875756829;0.924948898
56;0.008348351;0.460122501;0.418887912;0.432040046;0.727718347;0.248000137;0.532145256;0.667605164;0.691502185;0.777532765;0.825061162;0.955119804
57;0.002854639;0.304286975;0.338368765;0.383494985;0.468380587;0.461872678;0.598461523;0.696350438;0.768831188;0.816106332;0.816106332;0.895990456
58;0.016054329;0.263167768;0.361747443;0.371985073;0.603444807;0.513417441;0.705178506;0.637485991;0.659844109;0.781734551;0.837385504;0.875262978
59;0.031777632;0.452144912;0.457892456;0.507077387;0.697041865;0.470280738;0.611037628;0.738668844;0.82710078;0.870934986;0.870934986;0.955471164
