n;k1;k2;k3;k4;k5;k6;k7;k8;k9;k10;k11;k12
1;0.01;0.02;0.04;0.12;0.21;0.5;0.84;0.97;1;1;1;1
2;0.01;0.02;0.04;0.09;0.19;0.5;0.85;0.48;1;1;1;1
3;0;0.02;0.04;0.11;0.18;0.5;0.93;0.9;1;1;0.99;1
4;0.01;0.02;0.04;0.13;0.35;0.5;0.93;0.93;1;1;1;1
5;0.01;0.02;0.04;0.07;0.35;0.5;0.81;0.9;1;1;1;1
6;0;0.02;0.04;0.08;0.29;0.5;0.67;0.91;1;1;1;1
7;0.01;0.02;0.04;0.08;0.42;0.5;0.84;0.7;1;1;1;1
8;0.01;0.02;0.04;0.07;0.18;0.5;0.85;1;1;1;1;1
9;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
10;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
11;0.01;0.02;0.04;0.07;0.29;0.5;0.81;1;1;1;1;1
12;0;0.02;0.04;0.08;0.42;0.5;0.67;0.91;1;1;1;1
13;0.01;0.02;0.04;0.08;0.18;0.5;0.84;0.7;1;1;1;1
14;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
15;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
16;0.01;0.02;0.04;0.08;0.29;0.5;0.93;0.7;1;1;1;1
17;0.01;0.02;0.04;0.07;0.42;0.5;0.81;1;1;1;1;1
18;0;0.02;0.04;0.08;0.18;0.5;0.67;0.91;1;1;1;1
19;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
20;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
21;0;0.02;0.04;0.08;0.29;0.5;0.93;0.91;1;1;0.99;1
22;0.01;0.02;0.04;0.08;0.42;0.5;0.93;0.7;1;1;1;1
23;0.01;0.02;0.04;0.07;0.18;0.5;0.81;1;1;1;1;1
24;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
25;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
26;0.01;0.02;0.04;0.07;0.29;0.5;0.85;1;1;1;1;1
27;0;0.02;0.04;0.08;0.42;0.5;0.93;0.91;1;1;0.99;1
28;0.01;0.02;0.04;0.08;0.18;0.5;0.93;0.7;1;1;1;1
29;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
30;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
31;0.01;0.02;0.04;0.08;0.29;0.5;0.84;0.7;1;1;1;1
32;0.01;0.02;0.04;0.07;0.42;0.5;0.85;1;1;1;1;1
